rainfall_bin,height_bin,count
"(0.0, 0.1]","(0.0, 50.0]",121
"(0.0, 0.1]","(50.0, 100.0]",27
"(0.0, 0.1]","(100.0, 200.0]",174
"(0.0, 0.1]","(200.0, 400.0]",104
"(0.0, 0.1]","(400.0, 2000.0]",25
"(0.15, 0.2]","(0.0, 50.0]",17917
"(0.15, 0.2]","(50.0, 100.0]",5753
"(0.15, 0.2]","(100.0, 200.0]",7986
"(0.15, 0.2]","(200.0, 400.0]",8534
"(0.15, 0.2]","(400.0, 2000.0]",10668
"(0.2, 1.0]","(0.0, 50.0]",17826
"(0.2, 1.0]","(50.0, 100.0]",5798
"(0.2, 1.0]","(100.0, 200.0]",7280
"(0.2, 1.0]","(200.0, 400.0]",7494
"(0.2, 1.0]","(400.0, 2000.0]",9127
"(1.0, 2.0]","(0.0, 50.0]",11172
"(1.0, 2.0]","(50.0, 100.0]",3692
"(1.0, 2.0]","(100.0, 200.0]",4195
"(1.0, 2.0]","(200.0, 400.0]",4514
"(1.0, 2.0]","(400.0, 2000.0]",5431
"(2.0, 6.0]","(0.0, 50.0]",19596
"(2.0, 6.0]","(50.0, 100.0]",6255
"(2.0, 6.0]","(100.0, 200.0]",7493
"(2.0, 6.0]","(200.0, 400.0]",8070
"(2.0, 6.0]","(400.0, 2000.0]",10542
